NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
T,['1'],TMTstop-A_1_alinestimulus17.png,TMTstop-A_1_agreenlinestimulus17.png,TMTstop-A_1_aredlinestimulus17.png,None,,,,,0,19,19,19,,,,,,,,,,,,,22.995377599960193,None,['1'],1,[0.036448200000450015],22.995377599960193,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
U,['2'],TMTstop-A_1_alinestimulus18.png,TMTstop-A_1_agreenlinestimulus18.png,TMTstop-A_1_aredlinestimulus18.png,None,,,,,0,20,20,20,,,,,,,,,,,,,23.10582749999594,None,['2'],1,[-0.004838299937546253],23.10582749999594,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
V,['1'],TMTstop-A_1_alinestimulus19.png,TMTstop-A_1_agreenlinestimulus19.png,TMTstop-A_1_aredlinestimulus19.png,None,,,,,0,21,21,21,,,,,,,,,,,,,23.181977899977937,None,"['3', '1']",1,"[0.03310830006375909, 0.1786654000170529]",23.181977899977937,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
W,['3'],TMTstop-A_1_alinestimulus20.png,TMTstop-A_1_agreenlinestimulus20.png,TMTstop-A_1_aredlinestimulus20.png,None,,,,,0,22,22,22,,,,,,,,,,,,,23.460639200056903,None,"['2', '3']",1,"[-0.058228000067174435, 0.06480940000619739]",23.460639200056903,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
X,['1'],TMTstop-A_1_alinestimulus21.png,TMTstop-A_1_agreenlinestimulus21.png,TMTstop-A_1_aredlinestimulus21.png,None,,,,,0,23,23,23,,,,,,,,,,,,,23.614376800018363,None,['1'],1,[0.4333599000237882],23.614376800018363,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
Y,['3'],TMTstop-A_1_alinestimulus22.png,TMTstop-A_1_agreenlinestimulus22.png,TMTstop-A_1_aredlinestimulus22.png,None,,,,,0,24,24,24,,,,,,,,,,,,,24.126745800022036,None,"['2', '3']",1,"[0.08055329998023808, 0.9264908999903128]",24.126745800022036,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
None,None,TMTstop-A_1_alinestimulus23.png,TMTstop-A_1_agreenlinestimulus23.png,TMTstop-A_1_aredlinestimulus23.png,None,,,,,0,25,25,25,,,,,,,,,,,,,25.154384099994786,None,None,1,,25.154384099994786,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,,,,,,,,,0,0,0,0,,,,,,,,,29.237262099981308,None,['3'],1,[2.5503846000647172],29.237262099981308,None,26.165394700015895,None,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,31.869221000000834,None,['2'],1,[0.7284102999838069],31.869221000000834,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
3,['1'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,32.69738230004441,None,['1'],1,[0.7395140000153333],32.69738230004441,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
