NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim_2.started_mean,Stim_2.started_raw,Stim_2.started_std,Stim_2.stopped_raw,key_resp_8.corr_mean,key_resp_8.corr_raw,key_resp_8.corr_std,key_resp_8.keys_raw,key_resp_8.rt_raw,key_resp_8.started_mean,key_resp_8.started_raw,key_resp_8.started_std,key_resp_8.stopped_raw,order
12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,None,1,1.0,53.089813232421875,53.089813232421875,0.0,,1.0,1.0,0.0,2,0.37170130000595236,53.089813232421875,53.089813232421875,0.0,,11.0
13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,None,1,1.0,53.531410217285156,53.531410217285156,0.0,,1.0,1.0,0.0,3,0.345151800000167,53.531410217285156,53.531410217285156,0.0,,12.0
14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,None,1,1.0,53.93960952758789,53.93960952758789,0.0,,1.0,1.0,0.0,2,0.3598213000004762,53.93960952758789,53.93960952758789,0.0,,13.0
15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,None,1,1.0,54.3645133972168,54.3645133972168,0.0,,1.0,1.0,0.0,3,0.4436215000023367,54.3645133972168,54.3645133972168,0.0,,14.0
16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,None,1,1.0,54.872833251953125,54.872833251953125,0.0,,1.0,1.0,0.0,1,0.4106149999934132,54.872833251953125,54.872833251953125,0.0,,15.0
17,['2'],2,TMTstop-control_1_2linestimulus14.png,TMTstop-control_1_2greenlinestimulus14.png,TMTstop-control_1_2redlinestimulus14.png,TMT_Control,2,42,None,1,1.0,55.34773254394531,55.34773254394531,0.0,,1.0,1.0,0.0,2,0.3752690000037546,55.34773254394531,55.34773254394531,0.0,,16.0
18,['1'],1,TMTstop-control_1_2linestimulus15.png,TMTstop-control_1_2greenlinestimulus15.png,TMTstop-control_1_2redlinestimulus15.png,TMT_Control,2,43,None,1,1.0,55.789459228515625,55.789459228515625,0.0,,1.0,1.0,0.0,1,0.5284828000003472,55.789459228515625,55.789459228515625,0.0,,17.0
19,['2'],2,TMTstop-control_1_2linestimulus16.png,TMTstop-control_1_2greenlinestimulus16.png,TMTstop-control_1_2redlinestimulus16.png,TMT_Control,2,44,None,1,1.0,56.38052749633789,56.38052749633789,0.0,,1.0,1.0,0.0,2,0.32451250000303844,56.38052749633789,56.38052749633789,0.0,,18.0
20,['3'],3,TMTstop-control_1_2linestimulus17.png,TMTstop-control_1_2greenlinestimulus17.png,TMTstop-control_1_2redlinestimulus17.png,TMT_Control,2,45,None,1,1.0,56.77268600463867,56.77268600463867,0.0,,1.0,1.0,0.0,3,0.4122318000008818,56.77268600463867,56.77268600463867,0.0,,19.0
21,['1'],1,TMTstop-control_1_2linestimulus18.png,TMTstop-control_1_2greenlinestimulus18.png,TMTstop-control_1_2redlinestimulus18.png,TMT_Control,2,46,None,1,1.0,57.24760055541992,57.24760055541992,0.0,,1.0,1.0,0.0,1,0.4010217000031844,57.24760055541992,57.24760055541992,0.0,,20.0
22,['3'],3,TMTstop-control_1_2linestimulus19.png,TMTstop-control_1_2greenlinestimulus19.png,TMTstop-control_1_2redlinestimulus19.png,TMT_Control,2,47,None,1,1.0,57.70587158203125,57.70587158203125,0.0,,1.0,1.0,0.0,3,0.373798300002818,57.70587158203125,57.70587158203125,0.0,,21.0
23,['2'],2,TMTstop-control_1_2linestimulus20.png,TMTstop-control_1_2greenlinestimulus20.png,TMTstop-control_1_2redlinestimulus20.png,TMT_Control,2,48,None,1,1.0,58.14745330810547,58.14745330810547,0.0,,1.0,1.0,0.0,2,0.3708914000017103,58.14745330810547,58.14745330810547,0.0,,22.0
24,['3'],3,TMTstop-control_1_2linestimulus21.png,TMTstop-control_1_2greenlinestimulus21.png,TMTstop-control_1_2redlinestimulus21.png,TMT_Control,2,49,None,1,1.0,58.589927673339844,58.589927673339844,0.0,,1.0,1.0,0.0,3,0.3992441000009421,58.589927673339844,58.589927673339844,0.0,,23.0
25,['1'],1,TMTstop-control_1_2linestimulus22.png,TMTstop-control_1_2greenlinestimulus22.png,TMTstop-control_1_2redlinestimulus22.png,TMT_Control,2,50,None,1,1.0,59.047298431396484,59.047298431396484,0.0,,1.0,1.0,0.0,1,0.46460059999662917,59.047298431396484,59.047298431396484,0.0,,24.0
None,None,None,TMTstop-control_1_2linestimulus23.png,TMTstop-control_1_2greenlinestimulus23.png,TMTstop-control_1_2redlinestimulus23.png,TMT_Control,2,Feedback_last,None,1,1.0,59.57227325439453,59.57227325439453,0.0,,1.0,1.0,0.0,,'--',59.57227325439453,59.57227325439453,0.0,,25.0

extraInfo
participant,
session,001
date,2022_May_23_1222
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.98821831237917
