NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,1,1,42.980473099974915,None,['1'],1,[0.07035960000939667],42.980473099974915,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,1,1,43.1361541999504,None,['2'],1,[-0.04045390011742711],43.1361541999504,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,1,1,43.21310520009138,None,['3'],1,[0.015398000134155154],43.21310520009138,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,2,1,43.31675640004687,None,"['1', '2']",1,"[0.825448399875313, 0.9435189999639988]",43.31675640004687,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,2,1,44.33748440002091,None,"['3', '1']",1,"[0.012369000120088458, 0.525702300015837]",44.33748440002091,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,1,1,44.97645780001767,None,['2'],1,[-0.017240900080651045],44.97645780001767,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,1,1,45.04580170009285,None,['3'],1,[0.006961999926716089],45.04580170009285,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,1,1,45.13600809988566,None,['1'],1,[0.07550409995019436],45.13600809988566,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
12,['2'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,1,1,45.29623010009527,None,['2'],1,[-0.047026799991726875],45.29623010009527,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
13,['3'],TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,1,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,1,1,45.37218019994907,None,['3'],1,[-0.0132468999363482],45.37218019994907,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
