Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB1.thisRepN,Blocks_TMTB1.thisTrialN,Blocks_TMTB1.thisN,Blocks_TMTB1.thisIndex,trials_TMTB1.thisRepN,trials_TMTB1.thisTrialN,trials_TMTB1.thisN,trials_TMTB1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
A2,234:260,6,['3'],3,Images/TMTstop-A_1_2linestimulus3.png,Images/TMTstop-A_1_2greenlinestimulus3.png,Images/TMTstop-A_1_2redlinestimulus3.png,TMT_A,A2,31,None,2,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,2,0,68.71058940002695,95.77964580012485,None,"['2', '3']",1,"[-0.003582499921321869, 0.09106370015069842]",95.77964580012485,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,7,['2'],2,Images/TMTstop-A_1_2linestimulus4.png,Images/TMTstop-A_1_2greenlinestimulus4.png,Images/TMTstop-A_1_2redlinestimulus4.png,TMT_A,A2,32,None,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,2,0,68.93653269996867,95.94683140004054,None,"['1', '2']",1,"[0.0952131999656558, 0.13653380004689097]",95.94683140004054,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,8,['1'],1,Images/TMTstop-A_1_2linestimulus5.png,Images/TMTstop-A_1_2greenlinestimulus5.png,Images/TMTstop-A_1_2redlinestimulus5.png,TMT_A,A2,33,None,2,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,2,0,69.19357319967821,96.16277669975534,None,"['3', '1']",1,"[-0.01358029991388321, 0.1889285002835095]",96.16277669975534,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,9,['3'],3,Images/TMTstop-A_1_2linestimulus6.png,Images/TMTstop-A_1_2greenlinestimulus6.png,Images/TMTstop-A_1_2redlinestimulus6.png,TMT_A,A2,34,None,2,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,2,0,69.3455236996524,96.41302709979936,None,"['2', '3']",1,"[-0.024280699901282787, 0.0660737999714911]",96.41302709979936,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,10,['2'],2,Images/TMTstop-A_1_2linestimulus7.png,Images/TMTstop-A_1_2greenlinestimulus7.png,Images/TMTstop-A_1_2redlinestimulus7.png,TMT_A,A2,35,None,2,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,2,0,69.54654440004379,96.56596460007131,None,"['1', '2']",1,"[0.09404959995299578, 0.1432386999949813]",96.56596460007131,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,11,['1'],1,Images/TMTstop-A_1_2linestimulus8.png,Images/TMTstop-A_1_2greenlinestimulus8.png,Images/TMTstop-A_1_2redlinestimulus8.png,TMT_A,A2,36,None,2,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,5,0,70.13463300000876,96.77309820009395,None,"['3', '1', '2', '3', '1']",1,"[0.008589699864387512, 0.19244010001420975, 0.22109129978343844, 0.33106719981878996, 0.5034166998229921]",96.77309820009395,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,12,['2'],2,Images/TMTstop-A_1_2linestimulus9.png,Images/TMTstop-A_1_2greenlinestimulus9.png,Images/TMTstop-A_1_2redlinestimulus9.png,TMT_A,A2,37,None,2,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,1,1,70.18751169973984,97.35710449982435,None,['2'],1,[-0.02701690001413226],97.35710449982435,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,13,['1'],1,Images/TMTstop-A_1_2linestimulus10.png,Images/TMTstop-A_1_2greenlinestimulus10.png,Images/TMTstop-A_1_2redlinestimulus10.png,TMT_A,A2,38,None,2,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,2,0,70.42453669989482,97.40612810011953,None,"['3', '1']",1,"[0.007748600095510483, 0.18593649985268712]",97.40612810011953,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,14,['3'],3,Images/TMTstop-A_1_2linestimulus11.png,Images/TMTstop-A_1_2greenlinestimulus11.png,Images/TMTstop-A_1_2redlinestimulus11.png,TMT_A,A2,39,None,2,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,2,0,70.59954389976338,97.66167100006714,None,"['2', '3']",1,"[-0.02260940009728074, 0.06461119977757335]",97.66167100006714,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,15,['1'],1,Images/TMTstop-A_1_2linestimulus12.png,Images/TMTstop-A_1_2greenlinestimulus12.png,Images/TMTstop-A_1_2redlinestimulus12.png,TMT_A,A2,40,None,2,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,1,1,70.7359944996424,97.82222170010209,None,['1'],1,[0.07387210009619594],97.82222170010209,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
