Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_2.xlsx,26:52,8,['1'],1,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus5.png,TMTstop-control_1_2redlinestimulus5.png,TMT_Control,2,33,None,1,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,2,0,18.70419579999725,74.92075599999953,None,"['3', '1']",1,"[0.014659100001154002, 0.20204870000452502]",74.92075599999953,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,9,['3'],3,TMTstop-control_1_2linestimulus6.png,TMTstop-control_1_2greenlinestimulus6.png,TMTstop-control_1_2redlinestimulus6.png,TMT_Control,2,34,None,1,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,2,0,18.870359799999278,75.18237919999956,None,"['2', '3']",1,"[-0.014957700004742946, 0.12420369999745162]",75.18237919999956,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,10,['2'],2,TMTstop-control_1_2linestimulus7.png,TMTstop-control_1_2greenlinestimulus7.png,TMTstop-control_1_2redlinestimulus7.png,TMT_Control,2,35,None,1,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,2,0,19.150903399997333,75.36912849999499,None,"['1', '2']",1,"[0.13839639999787323, 0.20733930000278633]",75.36912849999499,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,None,1,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,1,1,19.252172399996198,75.62688150000031,None,['3'],1,[0.055417199997464195],75.62688150000031,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,None,1,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,2,0,19.7064962000004,75.7341035999998,None,"['1', '2']",1,"[0.36407140000665095, 0.39652790000400273]",75.7341035999998,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,None,1,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,2,0,19.81375929999922,76.18484460000036,None,"['2', '3']",1,"[0.017585900000995025, 0.06446690000302624]",76.18484460000036,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,None,1,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,2,0,20.06520399999863,76.30281129999639,None,"['1', '2']",1,"[0.12057869999989634, 0.19944480000413023]",76.30281129999639,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,None,1,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,1,1,20.185154200000397,76.5430806000004,None,['3'],1,[0.07884029999695485],76.5430806000004,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,None,1,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,1,1,20.332724100000632,76.66462389999651,None,['1'],1,[0.10404340000241064],76.66462389999651,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,17,['2'],2,TMTstop-control_1_2linestimulus14.png,TMTstop-control_1_2greenlinestimulus14.png,TMTstop-control_1_2redlinestimulus14.png,TMT_Control,2,42,None,1,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,1,1,20.39686509999592,76.81083129999752,None,['2'],1,[0.018674999999348074],76.81083129999752,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
