NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19,['3'],TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,None,3,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.45754319988191,None,"['2', '3']",1,"[-0.04460329981520772, 0.08383030002005398]",30.45754319988191,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
20,['1'],TMTstop-A_1_2linestimulus17.png,TMTstop-A_1_2greenlinestimulus17.png,TMTstop-A_1_2redlinestimulus17.png,None,1,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.610155100002885,None,['1'],1,[0.07649259991012514],30.610155100002885,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
21,['2'],TMTstop-A_1_2linestimulus18.png,TMTstop-A_1_2greenlinestimulus18.png,TMTstop-A_1_2redlinestimulus18.png,None,2,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.769720599986613,None,['2'],1,[-0.03330289991572499],30.769720599986613,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
22,['1'],TMTstop-A_1_2linestimulus19.png,TMTstop-A_1_2greenlinestimulus19.png,TMTstop-A_1_2redlinestimulus19.png,None,1,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.839027100009844,None,"['3', '1']",1,"[0.015518599888309836, 0.4572679998818785]",30.839027100009844,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
23,['2'],TMTstop-A_1_2linestimulus20.png,TMTstop-A_1_2greenlinestimulus20.png,TMTstop-A_1_2redlinestimulus20.png,None,2,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.402135400101542,None,['2'],1,[0.3014497999101877],31.402135400101542,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
24,['1'],TMTstop-A_1_2linestimulus21.png,TMTstop-A_1_2greenlinestimulus21.png,TMTstop-A_1_2redlinestimulus21.png,None,1,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.785341100068763,None,"['3', '1']",1,"[0.016783999977633357, 0.19481130014173687]",31.785341100068763,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
25,['2'],TMTstop-A_1_2linestimulus22.png,TMTstop-A_1_2greenlinestimulus22.png,TMTstop-A_1_2redlinestimulus22.png,None,2,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.089010199997574,None,['2'],1,[-0.01034620008431375],32.089010199997574,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
None,None,TMTstop-A_1_2linestimulus23.png,TMTstop-A_1_2greenlinestimulus23.png,TMTstop-A_1_2redlinestimulus23.png,None,None,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.16539560002275,None,['3'],0,[-0.007708899909630418],32.16539560002275,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
1,['2'],TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,10,2,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,33.26061340002343,None,,,,,,,,,,,,,36.2483284000773,None,"['1', '2']",1,"[0.5289910000283271, 0.6117100999690592]",36.2483284000773,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
2,['1'],TMTstop-A_1_3.png,TMTstop-A_1_3firstgreen.png,TMTstop-A_1_3firstred.png,10,1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.95710049988702,None,"['3', '1']",1,"[0.005816000048071146, 0.16143999993801117]",36.95710049988702,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
