Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
26:52,6,['3'],3,TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,2,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,30.76898130006157,None,['3'],1,[0.02435230021364987],30.76898130006157,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,7,['2'],2,TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,30.866314999992028,None,"['1', '2']",1,"[0.3604413000866771, 0.46551760006695986]",30.866314999992028,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,8,['1'],1,TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,2,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,31.435683000134304,None,"['3', '1']",1,"[-0.012926199939101934, 0.17357679991982877]",31.435683000134304,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,9,['2'],2,TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,2,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,31.713573400164023,None,['2'],1,[-0.02423139987513423],31.713573400164023,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,10,['3'],3,TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,2,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,31.783661799971014,None,['3'],1,[0.007647200021892786],31.783661799971014,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,11,['1'],1,TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,2,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,31.86631579999812,None,['1'],1,[0.11088179983198643],31.86631579999812,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,12,['2'],2,TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,2,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,32.047119500115514,None,['2'],1,[-0.029183199862018228],32.047119500115514,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,13,['3'],3,TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,2,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,32.11632509995252,None,['3'],1,[0.014500400051474571],32.11632509995252,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,14,['1'],1,TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,2,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,32.19972690008581,None,['1'],1,[0.09013039991259575],32.19972690008581,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,15,['3'],3,TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,2,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,32.36664619995281,None,"['2', '3']",1,"[-0.00615020003169775, 0.09272400010377169]",32.36664619995281,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
