NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,4,1,25.814751800033264,None,"['1', '2', '3', '1']",0,"[0.02282249997369945, 0.1036477000452578, 0.20238010003231466, 0.30175310000777245]",25.814751800033264,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
,,,,,,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,3,1,29.899916199967265,None,"['1', '2', '3']",1,"[0.4344644999364391, 0.4485500999726355, 0.6187109999591485]",29.899916199967265,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,2,1,30.61723139998503,None,"['1', '2']",1,"[0.06537670001853257, 0.12518010009080172]",30.61723139998503,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,1,1,30.86706580000464,None,['3'],1,[-0.0008424000116065145],30.86706580000464,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,1,1,30.95045999996364,None,['1'],1,[0.04469519993290305],30.95045999996364,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,1,1,31.08401039999444,None,['2'],1,[-0.03917110001202673],31.08401039999444,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,1,1,31.167189099942334,None,['3'],1,[-0.004351400071755052],31.167189099942334,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,2,1,31.250568800023757,None,"['1', '2']",1,"[0.020529399975202978, 0.09343929996248335]",31.250568800023757,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,2,1,31.46730989997741,None,"['3', '1']",1,"[-0.03273419989272952, 0.07816960010677576]",31.46730989997741,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
