NumberLetter,corrAns,StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
H,2,TMTBD1G.bmp,,,,,0,15,15,15,,,,,33.3917885000119,None,3,0,0.4624759999860544,33.3917885000119,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
9,3,TMTBD18.bmp,,,,,0,16,16,16,,,,,34.19216740000411,None,3,1,0.3142969000036828,34.19216740000411,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
I,1,TMTBD1H.bmp,,,,,0,17,17,17,,,,,34.52560300001642,None,3,0,0.4937184000154957,34.52560300001642,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
10,2,TMTBD19.bmp,,,,,0,18,18,18,,,,,35.55945250001969,None,3,0,0.3231878000078723,35.55945250001969,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
J,1,TMTBD1I.bmp,,,,,0,19,19,19,,,,,35.90965290000895,None,3,0,0.5850656000257004,35.90965290000895,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
11,3,TMTBD110.bmp,,,,,0,20,20,20,,,,,36.926705000019865,None,2,0,0.49473989999387413,36.926705000019865,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
K,1,TMTBD1J.bmp,,,,,0,21,21,21,,,,,37.46043090001331,None,2,0,1.0166171000164468,37.46043090001331,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
12,2,TMTBD111.bmp,,,,,0,22,22,22,,,,,38.77751550002722,None,2,1,0.7672064999933355,38.77751550002722,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
L,3,TMTBD1K.bmp,,,,,0,23,23,23,,,,,39.56120480000391,None,2,0,0.7214838999789208,39.56120480000391,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
None,None,TMTBD112.bmp,,,,,0,24,24,24,,,,,40.59507590002613,None,2,0,0.6688859999994747,40.59507590002613,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.29537590002292,None,,,,,,,
