NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,Correct,Block,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,24.091357399942353,None,"['2', '3']",1,"[-0.017789100063964725, 0.10305900010280311]",24.091357399942353,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,,0:26,1,1,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,24.29309539985843,None,['1'],1,[0.021181999938562512],24.29309539985843,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,24.397188500035554,None,['2'],1,[0.4736947000492364],24.397188500035554,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,24.953814199892804,None,['3'],1,[0.3646146000828594],24.953814199892804,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,,0:26,None,1,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,25.396944999927655,None,None,1,,25.396944999927655,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,,26:52,3,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,26.57743850001134,None,"['1', '2', '3']",1,"[0.6720827000681311, 0.7841256000101566, 0.8628736000973731]",26.57743850001134,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,,26:52,2,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,27.515984799945727,None,"['1', '2']",1,"[0.1901883000973612, 0.2713059999514371]",27.515984799945727,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,,26:52,3,2,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,27.91209469991736,None,['3'],1,[0.0049328000750392675],27.91209469991736,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,,26:52,1,2,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,28.01498969993554,None,['1'],1,[0.07481319992803037],28.01498969993554,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,,26:52,2,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,28.175314999883994,None,"['1', '2']",1,"[0.2751944998744875, 0.45963609986938536]",28.175314999883994,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
