Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C2,26:52,8,['1'],1,Images/TMTstop-control_1_2linestimulus4.png,Images/TMTstop-control_1_2greenlinestimulus5.png,Images/TMTstop-control_1_2redlinestimulus5.png,TMT_Control,C2,33,None,1,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,2,0,19.2841030000709,45.28459360031411,None,"['3', '1']",1,"[0.09835580037906766, 0.3000084003433585]",45.28459360031411,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,9,['3'],3,Images/TMTstop-control_1_2linestimulus6.png,Images/TMTstop-control_1_2greenlinestimulus6.png,Images/TMTstop-control_1_2redlinestimulus6.png,TMT_Control,C2,34,None,1,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,2,0,19.457181700039655,45.6483537000604,None,"['2', '3']",1,"[0.013745100237429142, 0.10676900018006563]",45.6483537000604,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,10,['2'],2,Images/TMTstop-control_1_2linestimulus7.png,Images/TMTstop-control_1_2greenlinestimulus7.png,Images/TMTstop-control_1_2redlinestimulus7.png,TMT_Control,C2,35,None,1,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,2,0,19.674154799897224,45.83877840032801,None,"['1', '2']",1,"[0.08740040007978678, 0.12114829989150167]",45.83877840032801,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,11,['3'],3,Images/TMTstop-control_1_2linestimulus8.png,Images/TMTstop-control_1_2greenlinestimulus8.png,Images/TMTstop-control_1_2redlinestimulus8.png,TMT_Control,C2,36,None,1,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,1,1,19.762148700188845,46.04281080001965,None,['3'],1,[0.011033500079065561],46.04281080001965,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,12,['2'],2,Images/TMTstop-control_1_2linestimulus9.png,Images/TMTstop-control_1_2greenlinestimulus9.png,Images/TMTstop-control_1_2redlinestimulus9.png,TMT_Control,C2,37,None,1,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,2,0,19.945067999884486,46.12562910001725,None,"['1', '2']",1,"[0.08312750002369285, 0.10402760002762079]",46.12562910001725,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,13,['3'],3,Images/TMTstop-control_1_2linestimulus10.png,Images/TMTstop-control_1_2greenlinestimulus10.png,Images/TMTstop-control_1_2redlinestimulus10.png,TMT_Control,C2,38,None,1,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,1,1,20.085126399993896,46.31589510012418,None,['3'],1,[0.07066049985587597],46.31589510012418,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,14,['2'],2,Images/TMTstop-control_1_2linestimulus11.png,Images/TMTstop-control_1_2greenlinestimulus11.png,Images/TMTstop-control_1_2redlinestimulus11.png,TMT_Control,C2,39,None,1,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,2,0,20.235104099847376,46.44878670014441,None,"['1', '2']",1,"[0.05193640012294054, 0.07004440017044544]",46.44878670014441,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,15,['3'],3,Images/TMTstop-control_1_2linestimulus12.png,Images/TMTstop-control_1_2greenlinestimulus12.png,Images/TMTstop-control_1_2redlinestimulus12.png,TMT_Control,C2,40,None,1,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,1,1,20.342099899891764,46.60576890036464,None,['3'],1,[0.050404499750584364],46.60576890036464,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,16,['1'],1,Images/TMTstop-control_1_2linestimulus13.png,Images/TMTstop-control_1_2greenlinestimulus13.png,Images/TMTstop-control_1_2redlinestimulus13.png,TMT_Control,C2,41,None,1,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,1,1,20.508115500211716,46.706078400369734,None,['1'],1,[0.11142290011048317],46.706078400369734,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,17,['2'],2,Images/TMTstop-control_1_2linestimulus14.png,Images/TMTstop-control_1_2greenlinestimulus14.png,Images/TMTstop-control_1_2redlinestimulus14.png,TMT_Control,C2,42,None,1,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,,,1,1,20.55810180027038,46.873042500112206,None,['2'],1,[-0.019248099997639656],46.873042500112206,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
