Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_2.xlsx,26:52,8,['1'],1,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus5.png,TMTstop-control_1_2redlinestimulus5.png,TMT_Control,2,33,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,2,0,34.97053700000106,None,"['3', '1']",1,"[-0.011819300008937716, 0.1020520000020042]",34.97053700000106,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,9,['3'],3,TMTstop-control_1_2linestimulus6.png,TMTstop-control_1_2greenlinestimulus6.png,TMTstop-control_1_2redlinestimulus6.png,TMT_Control,2,34,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,2,0,35.23514119999891,None,"['2', '3']",1,"[-0.11672740000358317, -0.029547600002842955]",35.23514119999891,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,10,['2'],2,TMTstop-control_1_2linestimulus7.png,TMTstop-control_1_2greenlinestimulus7.png,TMTstop-control_1_2redlinestimulus7.png,TMT_Control,2,35,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,2,0,35.361862900012056,None,"['1', '2']",1,"[-0.01795920000586193, 0.003537199998390861]",35.361862900012056,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,1,1,35.50302060000831,None,['3'],1,[0.0029285999917192385],35.50302060000831,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,1,1,35.64315850001003,None,['2'],1,[0.8016883000091184],35.64315850001003,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,3,0,36.5825130000012,None,"['1', '2', '3']",1,"[0.3307277999992948, 0.5422957999981008, 0.575365899989265]",36.5825130000012,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,2,0,37.26677320001181,None,"['1', '2']",1,"[0.08203549998870585, 0.14921199998934753]",37.26677320001181,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,1,1,37.53566110000247,None,['3'],1,[-0.012646700008190237],37.53566110000247,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,1,1,37.678314400007366,None,['1'],1,[-0.01473670000268612],37.678314400007366,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,17,['2'],2,TMTstop-control_1_2linestimulus14.png,TMTstop-control_1_2greenlinestimulus14.png,TMTstop-control_1_2redlinestimulus14.png,TMT_Control,2,42,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,1,1,37.81239089999872,None,['2'],1,[-0.07970930000010412],37.81239089999872,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,18,['1'],1,TMTstop-control_1_2linestimulus15.png,TMTstop-control_1_2greenlinestimulus15.png,TMTstop-control_1_2redlinestimulus15.png,TMT_Control,2,43,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,2,0,37.93879470000684,None,"['3', '1']",1,"[-0.11359589999483433, 0.022777300007874146]",37.93879470000684,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,19,['2'],2,TMTstop-control_1_2linestimulus16.png,TMTstop-control_1_2greenlinestimulus16.png,TMTstop-control_1_2redlinestimulus16.png,TMT_Control,2,44,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,1,1,38.08666190000076,None,['2'],1,[-0.08313060000364203],38.08666190000076,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,20,['3'],3,TMTstop-control_1_2linestimulus17.png,TMTstop-control_1_2greenlinestimulus17.png,TMTstop-control_1_2redlinestimulus17.png,TMT_Control,2,45,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,1,1,38.21896290000586,None,['3'],1,[-0.09914200000639539],38.21896290000586,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,21,['1'],1,TMTstop-control_1_2linestimulus18.png,TMTstop-control_1_2greenlinestimulus18.png,TMTstop-control_1_2redlinestimulus18.png,TMT_Control,2,46,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,7,0,38.34738940000534,None,"['1', '2', '3', '1', '2', '3', '1']",1,"[-0.09663200000068173, -0.06019920000107959, 0.0505669999984093, 0.19167970000125933, 0.23875930000212975, 0.3524202999979025, 0.4827664000040386]",38.34738940000534,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,22,['3'],3,TMTstop-control_1_2linestimulus19.png,TMTstop-control_1_2greenlinestimulus19.png,TMTstop-control_1_2redlinestimulus19.png,TMT_Control,2,47,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,,2,0,38.996365300001344,None,"['2', '3']",1,"[-0.1247527999948943, -0.017242499990970828]",38.996365300001344,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,23,['2'],2,TMTstop-control_1_2linestimulus20.png,TMTstop-control_1_2greenlinestimulus20.png,TMTstop-control_1_2redlinestimulus20.png,TMT_Control,2,48,0,1,1,1,0,22,22,22,,,,,,,,,,,,,,,2,0,39.13834210000641,None,"['1', '2']",1,"[-0.031335000006947666, 0.024231499992311]",39.13834210000641,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,24,['3'],3,TMTstop-control_1_2linestimulus21.png,TMTstop-control_1_2greenlinestimulus21.png,TMTstop-control_1_2redlinestimulus21.png,TMT_Control,2,49,0,1,1,1,0,23,23,23,,,,,,,,,,,,,,,1,1,39.269913399999496,None,['3'],1,[0.0037311000050976872],39.269913399999496,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,25,['1'],1,TMTstop-control_1_2linestimulus22.png,TMTstop-control_1_2greenlinestimulus22.png,TMTstop-control_1_2redlinestimulus22.png,TMT_Control,2,50,0,1,1,1,0,24,24,24,,,,,,,,,,,,,,,1,1,39.40255650000472,None,['1'],1,[2.900007530115545e-06],39.40255650000472,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,None,None,None,TMTstop-control_1_2linestimulus23.png,TMTstop-control_1_2greenlinestimulus23.png,TMTstop-control_1_2redlinestimulus23.png,TMT_Control,2,Feedback_last,0,1,1,1,0,25,25,25,,,,,,,,,,,,,,,3,0,39.526858000012,None,"['2', '3', '1']",0,"[-0.08400269999401644, 0.034359700002823956, 0.14963689999422058]",39.526858000012,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_3.xlsx,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,3,51,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,5,0,43.62526380000054,None,"['1', '2', '3', '1', '2']",1,"[0.2568071999994572, 0.3584474999952363, 0.41862189999665134, 0.5567908999946667, 0.6137118000042392]",43.62526380000054,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
