NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,Keypress_count,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,1,81,25.401753599988297,None,['1'],1,[0.0526712000137195],25.401753599988297,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,2,84,25.551904499996454,None,"['2', '3']",1,"[-0.020785999950021505, 0.08936410001479089]",25.551904499996454,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,1,85,25.73719929996878,None,['1'],1,[0.06390959990676492],25.73719929996878,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,1,86,25.886637300020084,None,['2'],1,[-0.016344100004062057],25.886637300020084,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,1,87,25.968848600052297,None,['3'],1,[0.3186092999530956],25.968848600052297,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,3,,26.385763500002213,None,"['1', '2', '3']",0,"[0.233672900008969, 0.4550134000601247, 0.5110067999921739]",26.385763500002213,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
,,,,,,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,3,109,30.470945499953814,None,"['1', '2', '3']",1,"[0.35521609999705106, 0.4853870999068022, 0.5751705999718979]",30.470945499953814,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,2,112,31.1710788999917,None,"['1', '2']",1,"[0.03907590010203421, 0.11154060007538646]",31.1710788999917,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,1,113,31.38824460003525,None,['3'],1,[-0.004762200056575239],31.38824460003525,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,1,114,31.471264300053008,None,['1'],1,[0.0484633999876678],31.471264300053008,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,1,115,31.60458040004596,None,['2'],1,[-0.007315900060348213],31.60458040004596,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,1,116,31.671491699991748,None,['3'],1,[0.01847399992402643],31.671491699991748,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,2,118,31.78812579996884,None,"['1', '2']",1,"[0.019461499992758036, 0.07522070000413805]",31.78812579996884,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
