NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,33.634845099877566,None,['1'],1,[0.05387820000760257],33.634845099877566,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,33.76747389999218,None,"['2', '3']",1,"[-0.02154690003953874, 0.11488209990784526]",33.76747389999218,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,33.97515139984898,None,"['1', '2']",1,"[0.05989489983767271, 0.10990799986757338]",33.97515139984898,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,34.16285500000231,None,['3'],1,[0.04835069994442165],34.16285500000231,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,34.29456599988043,None,['1'],1,[0.08256869995966554],34.29456599988043,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,34.44727949984372,None,"['2', '3']",1,"[0.015006500063464046, 0.0884164001327008]",34.44727949984372,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,34.63490149984136,None,['1'],1,[0.06951739988289773],34.63490149984136,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,34.794489099876955,None,"['2', '3']",1,"[-0.044004600029438734, 0.09697600011713803]",34.794489099876955,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,35.00292079988867,None,['1'],1,[0.07144220010377467],35.00292079988867,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,35.162609999999404,None,['2'],1,[-0.02883640001527965],35.162609999999404,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
