Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C1,0:26,10,['2'],2,Images/TMTstop-control_1_1linestimulus7.png,Images/TMTstop-control_1_1greenlinestimulus7.png,Images/TMTstop-control_1_1redlinestimulus7.png,TMT_Control,C1,10,None,1,0,0,0,0,0,9,9,9,,,,,,,,,2,0,9.324287899769843,36.605271700304,None,"['1', '2']",1,"[0.10159790003672242, 0.15421020006760955]",36.605271700304,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,11,['1'],1,Images/TMTstop-control_1_1linestimulus8.png,Images/TMTstop-control_1_1greenlinestimulus8.png,Images/TMTstop-control_1_1redlinestimulus8.png,TMT_Control,C1,11,None,1,0,0,0,0,0,10,10,10,,,,,,,,,5,0,9.830317199695855,36.86087190033868,None,"['3', '1', '2', '3', '1']",1,"[-0.03613629983738065, 0.1521002002991736, 0.1799854002892971, 0.27026790007948875, 0.41982199996709824]",36.86087190033868,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,12,['2'],2,Images/TMTstop-control_1_1linestimulus9.png,Images/TMTstop-control_1_1greenlinestimulus9.png,Images/TMTstop-control_1_1redlinestimulus9.png,TMT_Control,C1,12,None,1,0,0,0,0,0,11,11,11,,,,,,,,,1,1,9.880336300004274,37.36142380023375,None,['2'],1,[-0.02634999994188547],37.36142380023375,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,13,['3'],3,Images/TMTstop-control_1_1linestimulus10.png,Images/TMTstop-control_1_1greenlinestimulus10.png,Images/TMTstop-control_1_1redlinestimulus10.png,TMT_Control,C1,13,None,1,0,0,0,0,0,12,12,12,,,,,,,,,1,1,9.933439099695534,37.41431420017034,None,['3'],1,[-0.018118100240826607],37.41431420017034,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,14,['2'],2,Images/TMTstop-control_1_1linestimulus11.png,Images/TMTstop-control_1_1greenlinestimulus11.png,Images/TMTstop-control_1_1redlinestimulus11.png,TMT_Control,C1,14,None,1,0,0,0,0,0,13,13,13,,,,,,,,,2,0,10.119337399955839,37.466023500077426,None,"['1', '2']",1,"[0.0794836999848485, 0.12530939979478717]",37.466023500077426,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,15,['3'],3,Images/TMTstop-control_1_1linestimulus12.png,Images/TMTstop-control_1_1greenlinestimulus12.png,Images/TMTstop-control_1_1redlinestimulus12.png,TMT_Control,C1,15,None,1,0,0,0,0,0,14,14,14,,,,,,,,,1,1,10.18532899999991,37.650762900244445,None,['3'],1,[0.012227099854499102],37.650762900244445,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,16,['2'],2,Images/TMTstop-control_1_1linestimulus13.png,Images/TMTstop-control_1_1greenlinestimulus13.png,Images/TMTstop-control_1_1redlinestimulus13.png,TMT_Control,C1,16,None,1,0,0,0,0,0,15,15,15,,,,,,,,,2,0,10.395351300016046,37.72275080019608,None,"['1', '2']",1,"[0.09077669959515333, 0.12540039978921413]",37.72275080019608,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,17,['3'],3,Images/TMTstop-control_1_1linestimulus14.png,Images/TMTstop-control_1_1greenlinestimulus14.png,Images/TMTstop-control_1_1redlinestimulus14.png,TMT_Control,C1,17,None,1,0,0,0,0,0,16,16,16,,,,,,,,,1,1,10.452492199838161,37.93379840021953,None,['3'],1,[-0.009951500222086906],37.93379840021953,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,18,['2'],2,Images/TMTstop-control_1_1linestimulus15.png,Images/TMTstop-control_1_1greenlinestimulus15.png,Images/TMTstop-control_1_1redlinestimulus15.png,TMT_Control,C1,18,None,1,0,0,0,0,0,17,17,17,,,,,,,,,2,0,10.652298299595714,37.98382760025561,None,"['1', '2']",1,"[0.08565450040623546, 0.12012290023267269]",37.98382760025561,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,19,['1'],1,Images/TMTstop-control_1_1linestimulus16.png,Images/TMTstop-control_1_1greenlinestimulus16.png,Images/TMTstop-control_1_1redlinestimulus16.png,TMT_Control,C1,19,None,1,0,0,0,0,0,18,18,18,,,,,,,,,2,0,10.88629539962858,38.183993000071496,None,"['3', '1']",1,"[0.0026755002327263355, 0.15618780022487044]",38.183993000071496,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,20,['3'],3,Images/TMTstop-control_1_1linestimulus17.png,Images/TMTstop-control_1_1greenlinestimulus17.png,Images/TMTstop-control_1_1redlinestimulus17.png,TMT_Control,C1,20,None,1,0,0,0,0,0,19,19,19,,,,,,,,,2,0,10.986358299851418,38.41707589989528,None,"['2', '3']",1,"[-0.04399289982393384, 0.03893119981512427]",38.41707589989528,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,21,['1'],1,Images/TMTstop-control_1_1linestimulus18.png,Images/TMTstop-control_1_1greenlinestimulus18.png,Images/TMTstop-control_1_1redlinestimulus18.png,TMT_Control,C1,21,None,1,0,0,0,0,0,20,20,20,,,,,,,,,1,1,11.152381499763578,38.51775050023571,None,['1'],1,[0.10633839992806315],38.51775050023571,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,22,['2'],2,Images/TMTstop-control_1_1linestimulus19.png,Images/TMTstop-control_1_1greenlinestimulus19.png,Images/TMTstop-control_1_1redlinestimulus19.png,TMT_Control,C1,22,None,1,0,0,0,0,0,21,21,21,,,,,,,,,1,1,11.203321899753064,38.68448649998754,None,['2'],1,[-0.021341499872505665],38.68448649998754,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,23,['3'],3,Images/TMTstop-control_1_1linestimulus20.png,Images/TMTstop-control_1_1greenlinestimulus20.png,Images/TMTstop-control_1_1redlinestimulus20.png,TMT_Control,C1,23,None,1,0,0,0,0,0,22,22,22,,,,,,,,,1,1,11.286339899990708,38.73412290029228,None,['3'],1,[0.006577599793672562],38.73412290029228,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,24,['2'],2,Images/TMTstop-control_1_1linestimulus21.png,Images/TMTstop-control_1_1greenlinestimulus21.png,Images/TMTstop-control_1_1redlinestimulus21.png,TMT_Control,C1,24,None,1,0,0,0,0,0,23,23,23,,,,,,,,,2,0,11.47034309990704,38.818046000320464,None,"['1', '2']",1,"[0.0805577002465725, 0.10684320004656911]",38.818046000320464,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,25,['1'],1,Images/TMTstop-control_1_1linestimulus22.png,Images/TMTstop-control_1_1greenlinestimulus22.png,Images/TMTstop-control_1_1redlinestimulus22.png,TMT_Control,C1,25,None,1,0,0,0,0,0,24,24,24,,,,,,,,,2,0,11.703318499960005,39.002044800203294,None,"['3', '1']",1,"[0.02813829993829131, 0.1723183998838067]",39.002044800203294,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C1,0:26,None,None,None,Images/TMTstop-control_1_1linestimulus23.png,Images/TMTstop-control_1_1greenlinestimulus23.png,Images/TMTstop-control_1_1redlinestimulus23.png,TMT_Control,C1,Feedback_last,None,1,0,0,0,0,0,25,25,25,,,,,,,,,2,0,,39.23517870018259,None,"['2', '3']",0,"[-0.02606259984895587, 0.043991600163280964]",39.23517870018259,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,1,['2'],2,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,TMT_Control,C2,26,None,1,0,1,1,1,0,0,0,0,,,,,,,,,2,0,16.574588999617845,43.484559800010175,None,"['1', '2']",1,"[0.47243670001626015, 0.5698192999698222]",43.484559800010175,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,2,['3'],3,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2firstgreen.png,Images/TMTstop-control_1_2firstred.png,TMT_Control,C2,27,None,1,0,1,1,1,0,1,1,1,,,,,,,,,1,1,16.65769389970228,44.106054100207984,None,['3'],1,[0.005001300014555454],44.106054100207984,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,3,['2'],2,Images/TMTstop-control_1_2linestimulus0.png,Images/TMTstop-control_1_2greenlinestimulus0.png,Images/TMTstop-control_1_2redlinestimulus0.png,TMT_Control,C2,28,None,1,0,1,1,1,0,2,2,2,,,,,,,,,2,0,16.85858969995752,44.189598500262946,None,"['1', '2']",1,"[0.09753760043531656, 0.14029610017314553]",44.189598500262946,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
