NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04981520003639,None,['3'],1,[-0.005339800147339702],60.04981520003639,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.160273800138384,None,['1'],1,[0.06174229993484914],60.160273800138384,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.32790539995767,None,"['2', '3']",1,"[-0.012036900036036968, 0.14809140004217625]",60.32790539995767,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5979246001225,None,['1'],1,[0.18840350001119077],60.5979246001225,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88144690007903,None,['3'],1,[0.09296210017055273],60.88144690007903,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.06920020002872,None,['1'],1,[0.4210218999069184],61.06920020002872,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.582513600122184,None,['2'],1,[0.006768499966710806],61.582513600122184,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.67987870005891,None,['3'],1,[1.3080124000553042],61.67987870005891,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.082451900001615,None,None,1,,63.082451900001615,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,64.13538029999472,None,,,,,,,,,,,,,67.15885760006495,None,['3'],1,[1.0392210001591593],67.15885760006495,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
