NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
P,['1'],TMTstop-A_1_alinestimulus13.png,TMTstop-A_1_agreenlinestimulus13.png,TMTstop-A_1_aredlinestimulus13.png,None,,,,,0,15,15,15,,,,,,,,,34.460942000034265,None,['1'],1,[0.12966360000427812],34.460942000034265,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
Q,['3'],TMTstop-A_1_alinestimulus14.png,TMTstop-A_1_agreenlinestimulus14.png,TMTstop-A_1_aredlinestimulus14.png,None,,,,,0,16,16,16,,,,,,,,,34.675779600045644,None,"['1', '2', '3']",1,"[0.8191704000346363, 0.9004935999400914, 1.0145367999793962]",34.675779600045644,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
R,['1'],TMTstop-A_1_alinestimulus15.png,TMTstop-A_1_agreenlinestimulus15.png,TMTstop-A_1_aredlinestimulus15.png,None,,,,,0,17,17,17,,,,,,,,,35.7804746000329,None,['1'],1,[0.1106048000510782],35.7804746000329,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
S,['3'],TMTstop-A_1_alinestimulus16.png,TMTstop-A_1_agreenlinestimulus16.png,TMTstop-A_1_aredlinestimulus16.png,None,,,,,0,18,18,18,,,,,,,,,35.96143300004769,None,"['2', '1', '2', '3']",1,"[-0.0031296999659389257, 0.48601650004275143, 0.5534540000371635, 0.6772018000483513]",35.96143300004769,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
T,['1'],TMTstop-A_1_alinestimulus17.png,TMTstop-A_1_agreenlinestimulus17.png,TMTstop-A_1_aredlinestimulus17.png,None,,,,,0,19,19,19,,,,,,,,,36.75253020005766,None,['1'],1,[0.38939209992531687],36.75253020005766,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
U,['2'],TMTstop-A_1_alinestimulus18.png,TMTstop-A_1_agreenlinestimulus18.png,TMTstop-A_1_aredlinestimulus18.png,None,,,,,0,20,20,20,,,,,,,,,37.21121550002135,None,['2'],1,[0.005853499984368682],37.21121550002135,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
V,['1'],TMTstop-A_1_alinestimulus19.png,TMTstop-A_1_agreenlinestimulus19.png,TMTstop-A_1_aredlinestimulus19.png,None,,,,,0,21,21,21,,,,,,,,,37.30092250008602,None,"['3', '1']",1,"[0.04697719996329397, 0.47250789997633547]",37.30092250008602,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
W,['3'],TMTstop-A_1_alinestimulus20.png,TMTstop-A_1_agreenlinestimulus20.png,TMTstop-A_1_aredlinestimulus20.png,None,,,,,0,22,22,22,,,,,,,,,37.8499897000147,None,"['2', '3']",1,"[-0.04202089994214475, 0.15019750001374632]",37.8499897000147,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
X,['1'],TMTstop-A_1_alinestimulus21.png,TMTstop-A_1_agreenlinestimulus21.png,TMTstop-A_1_aredlinestimulus21.png,None,,,,,0,23,23,23,,,,,,,,,38.09367440000642,None,"['3', '2', '1']",1,"[0.787815900053829, 1.5560013999929652, 1.9569737000856549]",38.09367440000642,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
Y,['3'],TMTstop-A_1_alinestimulus22.png,TMTstop-A_1_agreenlinestimulus22.png,TMTstop-A_1_aredlinestimulus22.png,None,,,,,0,24,24,24,,,,,,,,,40.16279920004308,None,['3'],1,[0.5935593999456614],40.16279920004308,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
None,None,TMTstop-A_1_alinestimulus23.png,TMTstop-A_1_agreenlinestimulus23.png,TMTstop-A_1_aredlinestimulus23.png,None,,,,,0,25,25,25,,,,,,,,,40.83608170005027,None,None,1,,40.83608170005027,None,,,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,,,,,,,,,0,0,0,0,,,,,44.925881000002846,None,['3'],1,[1.3575851999921724],44.925881000002846,None,41.84685980004724,None,,001,2021_Nov_04_1628,TMTAB,2021.2.3,144.58346950905144,
