NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
B,['2'],TMTstop-B_1_2linestimulus1.png,TMTstop-B_1_2greenlinestimulus1.png,TMTstop-B_1_2redlinestimulus1.png,10,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.34271440000157,None,['2'],1,[-0.02206560000195168],42.34271440000157,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
3,['3'],TMTstop-B_1_2linestimulus2.png,TMTstop-B_1_2greenlinestimulus2.png,TMTstop-B_1_2redlinestimulus2.png,10,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.41862120000587,None,['3'],1,[0.0037911000108579174],42.41862120000587,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
C,['1'],TMTstop-B_1_2linestimulus3.png,TMTstop-B_1_2greenlinestimulus3.png,TMTstop-B_1_2redlinestimulus3.png,10,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.50246509999852,None,['1'],1,[0.04324899999483023],42.50246509999852,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
4,['2'],TMTstop-B_1_2linestimulus4.png,TMTstop-B_1_2greenlinestimulus4.png,TMTstop-B_1_2redlinestimulus4.png,10,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.627521200003684,None,['2'],1,[-0.016901599999982864],42.627521200003684,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
D,['3'],TMTstop-B_1_2linestimulus5.png,TMTstop-B_1_2greenlinestimulus5.png,TMTstop-B_1_2redlinestimulus5.png,10,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.703726599997026,None,['3'],1,[-0.007917499999166466],42.703726599997026,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
5,['2'],TMTstop-B_1_2linestimulus6.png,TMTstop-B_1_2greenlinestimulus6.png,TMTstop-B_1_2redlinestimulus6.png,10,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.773167999999714,None,"['1', '2']",1,"[0.047503199995844625, 0.11075999999593478]",42.773167999999714,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
E,['1'],TMTstop-B_1_2linestimulus7.png,TMTstop-B_1_2greenlinestimulus7.png,TMTstop-B_1_2redlinestimulus7.png,10,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.98172120000527,None,"['3', '1']",1,"[-0.005827000000863336, 0.11114409999572672]",42.98172120000527,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
6,['3'],TMTstop-B_1_2linestimulus8.png,TMTstop-B_1_2greenlinestimulus8.png,TMTstop-B_1_2redlinestimulus8.png,10,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.17620370000077,None,"['2', '3']",1,"[-0.017817600004491396, 0.07348510000156239]",43.17620370000077,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
F,['1'],TMTstop-B_1_2linestimulus9.png,TMTstop-B_1_2greenlinestimulus9.png,TMTstop-B_1_2redlinestimulus9.png,10,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32884649999323,None,['1'],1,[0.041241300001274794],43.32884649999323,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
7,['3'],TMTstop-B_1_2linestimulus10.png,TMTstop-B_1_2greenlinestimulus10.png,TMTstop-B_1_2redlinestimulus10.png,1,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.43996370000241,None,"['2', '3']",1,"[-0.010899000000790693, 0.09709329999168403]",43.43996370000241,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
