NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
G,['2'],TMTstop-control_1_alinestimulus4.png,TMTstop-control_1_agreenlinestimulus4.png,TMTstop-control_1_aredlinestimulus4.png,10,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,47.85724790021777,None,"['1', '2']",1,"[0.03940990008413792, 0.10189109994098544]",47.85724790021777,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
H,['3'],TMTstop-control_1_alinestimulus5.png,TMTstop-control_1_agreenlinestimulus5.png,TMTstop-control_1_aredlinestimulus5.png,10,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,48.052232100162655,None,['3'],1,[0.013534799916669726],48.052232100162655,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
I,['1'],TMTstop-control_1_alinestimulus6.png,TMTstop-control_1_agreenlinestimulus6.png,TMTstop-control_1_aredlinestimulus6.png,10,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,48.13513770001009,None,['1'],1,[0.061672399984672666],48.13513770001009,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
J,['2'],TMTstop-control_1_alinestimulus7.png,TMTstop-control_1_agreenlinestimulus7.png,TMTstop-control_1_aredlinestimulus7.png,10,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,48.27402220014483,None,['2'],1,[0.0009171999990940094],48.27402220014483,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
K,['3'],TMTstop-control_1_alinestimulus8.png,TMTstop-control_1_agreenlinestimulus8.png,TMTstop-control_1_aredlinestimulus8.png,10,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,48.357568100094795,None,['3'],1,[0.014652499929070473],48.357568100094795,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
L,['1'],TMTstop-control_1_alinestimulus9.png,TMTstop-control_1_agreenlinestimulus9.png,TMTstop-control_1_aredlinestimulus9.png,10,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,48.45465200021863,None,['1'],1,[0.04651489993557334],48.45465200021863,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
M,['3'],TMTstop-control_1_alinestimulus10.png,TMTstop-control_1_agreenlinestimulus10.png,TMTstop-control_1_aredlinestimulus10.png,1,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,48.57960250019096,None,"['2', '3']",1,"[-0.0026014000177383423, 0.08413189998827875]",48.57960250019096,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
N,['2'],TMTstop-control_1_alinestimulus11.png,TMTstop-control_1_agreenlinestimulus11.png,TMTstop-control_1_aredlinestimulus11.png,None,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,48.73225320014171,None,"['1', '2']",1,"[0.06724820006638765, 0.1294698000419885]",48.73225320014171,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
O,['1'],TMTstop-control_1_alinestimulus12.png,TMTstop-control_1_agreenlinestimulus12.png,TMTstop-control_1_aredlinestimulus12.png,None,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,48.96143940021284,None,"['3', '1']",1,"[0.011184300063177943, 0.13797049992717803]",48.96143940021284,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
P,['3'],TMTstop-control_1_alinestimulus13.png,TMTstop-control_1_agreenlinestimulus13.png,TMTstop-control_1_aredlinestimulus13.png,None,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,49.16978500015102,None,"['2', '3']",1,"[0.0045785000547766685, 0.10214560013264418]",49.16978500015102,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
