NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,['3'],TMT-A_1_1linestimulus13.png,TMT-A_1_1greenlinestimulus13.png,TMT-A_1_1redlinestimulus13.png,None,3,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.048766100080684,None,['3'],1,[0.6527185998857021],39.048766100080684,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
17,['1'],TMT-A_1_1linestimulus14.png,TMT-A_1_1greenlinestimulus14.png,TMT-A_1_1redlinestimulus14.png,None,1,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.799266800051555,None,['1'],1,[0.5545633998699486],39.799266800051555,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
18,['3'],TMT-A_1_1linestimulus15.png,TMT-A_1_1greenlinestimulus15.png,TMT-A_1_1redlinestimulus15.png,None,3,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.449852799996734,None,['3'],1,[0.6291662999428809],40.449852799996734,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
19,['2'],TMT-A_1_1linestimulus16.png,TMT-A_1_1greenlinestimulus16.png,TMT-A_1_1redlinestimulus16.png,None,2,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1665992999915,None,['2'],1,[0.7150659000035375],41.1665992999915,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
20,['3'],TMT-A_1_1linestimulus17.png,TMT-A_1_1greenlinestimulus17.png,TMT-A_1_1redlinestimulus17.png,None,3,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.968062800122425,None,['3'],1,[1.0032450000289828],41.968062800122425,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
21,['2'],TMT-A_1_1linestimulus18.png,TMT-A_1_1greenlinestimulus18.png,TMT-A_1_1redlinestimulus18.png,None,2,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0674272000324,None,['2'],1,[0.6832919002044946],43.0674272000324,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
22,['3'],TMT-A_1_1linestimulus19.png,TMT-A_1_1greenlinestimulus19.png,TMT-A_1_1redlinestimulus19.png,None,3,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.83432280016132,None,['3'],1,[0.7934022999834269],43.83432280016132,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
23,['2'],TMT-A_1_1linestimulus20.png,TMT-A_1_1greenlinestimulus20.png,TMT-A_1_1redlinestimulus20.png,None,2,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.718123300001025,None,['2'],1,[0.7089417998213321],44.718123300001025,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
24,['1'],TMT-A_1_1linestimulus21.png,TMT-A_1_1greenlinestimulus21.png,TMT-A_1_1redlinestimulus21.png,None,1,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.518730300012976,None,['1'],1,[0.8825562000274658],45.518730300012976,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
25,['3'],TMT-A_1_1linestimulus22.png,TMT-A_1_1greenlinestimulus22.png,TMT-A_1_1redlinestimulus22.png,None,3,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4859861000441,None,['3'],1,[0.7182007001247257],46.4859861000441,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
