Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_3.xlsx,52:78,2,['1'],TMTstop-A_1_3.png,TMTstop-A_1_3firstgreen.png,TMTstop-A_1_3firstred.png,10,1,,,,,,,,,0,2,2,2,0,1,1,1,2,1,44.864629100076854,None,"['3', '1']",1,"[0.008621999993920326, 0.2006576000712812]",44.864629100076854,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,3,['3'],TMTstop-A_1_3linestimulus0.png,TMTstop-A_1_3greenlinestimulus0.png,TMTstop-A_1_3redlinestimulus0.png,10,3,,,,,,,,,0,2,2,2,0,2,2,2,2,1,45.15603359998204,None,"['2', '3']",1,"[0.0023753000423312187, 0.10310419998131692]",45.15603359998204,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,4,['2'],TMTstop-A_1_3linestimulus1.png,TMTstop-A_1_3greenlinestimulus1.png,TMTstop-A_1_3redlinestimulus1.png,10,2,,,,,,,,,0,2,2,2,0,3,3,3,2,1,45.36392610007897,None,"['1', '2']",1,"[0.06475690007209778, 0.14044789993204176]",45.36392610007897,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,5,['3'],TMTstop-A_1_3linestimulus2.png,TMTstop-A_1_3greenlinestimulus2.png,TMTstop-A_1_3redlinestimulus2.png,10,3,,,,,,,,,0,2,2,2,0,4,4,4,1,1,45.58688299986534,None,['3'],1,[0.028889399953186512],45.58688299986534,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,6,['2'],TMTstop-A_1_3linestimulus3.png,TMTstop-A_1_3greenlinestimulus3.png,TMTstop-A_1_3redlinestimulus3.png,10,2,,,,,,,,,0,2,2,2,0,5,5,5,2,1,45.690304700052366,None,"['1', '2']",1,"[0.08167680003680289, 0.15422709984704852]",45.690304700052366,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,7,['1'],TMTstop-A_1_3linestimulus4.png,TMTstop-A_1_3greenlinestimulus4.png,TMTstop-A_1_3redlinestimulus4.png,10,1,,,,,,,,,0,2,2,2,0,6,6,6,2,1,45.91939459997229,None,"['3', '1']",1,"[0.02492949995212257, 0.20049630012363195]",45.91939459997229,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,8,['2'],TMTstop-A_1_3linestimulus5.png,TMTstop-A_1_3greenlinestimulus5.png,TMTstop-A_1_3redlinestimulus5.png,10,2,,,,,,,,,0,2,2,2,0,7,7,7,1,1,46.19090629997663,None,['2'],1,[0.0061882000882178545],46.19090629997663,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,9,['3'],TMTstop-A_1_3linestimulus6.png,TMTstop-A_1_3greenlinestimulus6.png,TMTstop-A_1_3redlinestimulus6.png,10,3,,,,,,,,,0,2,2,2,0,8,8,8,1,1,46.273740200093016,None,['3'],1,[0.028543300228193402],46.273740200093016,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,10,['2'],TMTstop-A_1_3linestimulus7.png,TMTstop-A_1_3greenlinestimulus7.png,TMTstop-A_1_3redlinestimulus7.png,10,2,,,,,,,,,0,2,2,2,0,9,9,9,2,1,46.38469349988736,None,"['1', '2']",1,"[0.09650960005819798, 0.18446700018830597]",46.38469349988736,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,11,['3'],TMTstop-A_1_3linestimulus8.png,TMTstop-A_1_3greenlinestimulus8.png,TMTstop-A_1_3redlinestimulus8.png,10,3,,,,,,,,,0,2,2,2,0,10,10,10,1,1,46.67670539999381,None,['3'],1,[-0.037569599924609065],46.67670539999381,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
