NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,1,1,25.416135799954645,None,['3'],1,[-0.0008854999905452132],25.416135799954645,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,6,1,25.499628799967468,None,"['1', '2', '3', '1', '2', '3']",0,"[0.07520640001166612, 0.14625710004474968, 0.24478389997966588, 0.35746229998767376, 0.4418404999887571, 0.5644531000871211]",25.499628799967468,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,3,1,29.58489479997661,None,"['1', '2', '3']",1,"[0.3723861000034958, 0.4703914999263361, 0.5632239999249578]",29.58489479997661,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,2,1,30.25176230003126,None,"['1', '2']",1,"[0.03923880006186664, 0.10189519997220486]",30.25176230003126,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,1,1,30.435151500045322,None,['3'],1,[0.01618469995446503],30.435151500045322,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,1,1,30.535143799963407,None,['1'],1,[0.02112749998923391],30.535143799963407,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,1,1,30.65189990005456,None,['2'],1,[-0.010692200041376054],30.65189990005456,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,1,1,30.718147699953988,None,['3'],1,[-0.015719300019554794],30.718147699953988,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,2,1,30.80227119999472,None,"['1', '2']",1,"[0.018295800080522895, 0.09323520003817976]",30.80227119999472,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,2,1,31.01904869999271,None,"['3', '1']",1,"[-0.051268599927425385, 0.06865550007205456]",31.01904869999271,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
