Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-B_1_2.xlsx,26:52,8,['3'],3,TMTstop-B_1_2linestimulus12.png,TMTstop-B_1_2greenlinestimulus12.png,TMTstop-B_1_2redlinestimulus12.png,2,40,,,,,,,,,0,1,1,1,0,14,14,14,1,1,26.255538300145417,None,['3'],1,[-0.017762700095772743],26.255538300145417,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,H,['2'],2,TMTstop-B_1_2linestimulus13.png,TMTstop-B_1_2greenlinestimulus13.png,TMTstop-B_1_2redlinestimulus13.png,2,41,,,,,,,,,0,1,1,1,0,15,15,15,2,0,26.33331110002473,None,"['1', '2']",1,"[0.06959820003248751, 0.16167939989827573]",26.33331110002473,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,9,['3'],3,TMTstop-B_1_2linestimulus14.png,TMTstop-B_1_2greenlinestimulus14.png,TMTstop-B_1_2redlinestimulus14.png,2,42,,,,,,,,,0,1,1,1,0,16,16,16,1,1,26.610578400082886,None,['3'],1,[-0.0606672998983413],26.610578400082886,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,I,['1'],1,TMTstop-B_1_2linestimulus15.png,TMTstop-B_1_2greenlinestimulus15.png,TMTstop-B_1_2redlinestimulus15.png,2,43,,,,,,,,,0,1,1,1,0,17,17,17,1,1,26.686277200002223,None,['1'],1,[0.020947499899193645],26.686277200002223,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,10,['2'],2,TMTstop-B_1_2linestimulus16.png,TMTstop-B_1_2greenlinestimulus16.png,TMTstop-B_1_2redlinestimulus16.png,2,44,,,,,,,,,0,1,1,1,0,18,18,18,1,1,26.7845030000899,None,['2'],1,[-0.028524900088086724],26.7845030000899,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,J,['3'],3,TMTstop-B_1_2linestimulus17.png,TMTstop-B_1_2greenlinestimulus17.png,TMTstop-B_1_2redlinestimulus17.png,2,45,,,,,,,,,0,1,1,1,0,19,19,19,1,1,26.860675600124523,None,['3'],1,[-0.0012290999293327332],26.860675600124523,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,11,['2'],2,TMTstop-B_1_2linestimulus18.png,TMTstop-B_1_2greenlinestimulus18.png,TMTstop-B_1_2redlinestimulus18.png,2,46,,,,,,,,,0,1,1,1,0,20,20,20,2,0,26.94355160021223,None,"['1', '2']",1,"[0.06067299982532859, 0.15233840001747012]",26.94355160021223,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,K,['3'],3,TMTstop-B_1_2linestimulus19.png,TMTstop-B_1_2greenlinestimulus19.png,TMTstop-B_1_2redlinestimulus19.png,2,47,,,,,,,,,0,1,1,1,0,21,21,21,1,1,27.207180500030518,None,['3'],1,[0.002254200167953968],27.207180500030518,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,12,['1'],1,TMTstop-B_1_2linestimulus20.png,TMTstop-B_1_2greenlinestimulus20.png,TMTstop-B_1_2redlinestimulus20.png,2,48,,,,,,,,,0,1,1,1,0,22,22,22,1,1,27.29735100013204,None,['1'],1,[0.06489050015807152],27.29735100013204,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,L,['2'],2,TMTstop-B_1_2linestimulus21.png,TMTstop-B_1_2greenlinestimulus21.png,TMTstop-B_1_2redlinestimulus21.png,2,49,,,,,,,,,0,1,1,1,0,23,23,23,1,1,27.443684000056237,None,['2'],1,[-0.009924100013449788],27.443684000056237,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
