NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Keypress_count,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,72,25.88532999996096,None,['2'],1,[-0.049581300001591444],25.88532999996096,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,73,25.985606399946846,None,['3'],1,[-0.01253269996959716],25.985606399946846,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,26.068550999974832,None,"['1', '2', '3']",0,"[0.07043170009274036, 0.16162690008059144, 0.2757644000230357]",26.068550999974832,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
,,,,,,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,98,30.153812199947424,None,"['1', '2', '3']",1,"[0.45336439996026456, 0.5998812000034377, 0.6725299999816343]",30.153812199947424,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,101,30.937899600015953,None,"['1', '2']",1,"[0.0874437999445945, 0.1785493999486789]",30.937899600015953,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,102,31.221158299944364,None,['3'],1,[-0.01861520006787032],31.221158299944364,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,103,31.304291800013743,None,['1'],1,[0.057704900042153895],31.304291800013743,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,104,31.454391599982046,None,['2'],1,[-0.013939399970695376],31.454391599982046,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,105,31.52162929996848,None,['3'],1,[0.0018376000225543976],31.52162929996848,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,108,31.621114399982616,None,"['1', '2']",1,"[0.056549300090409815, 0.14786250004544854]",31.621114399982616,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,112,31.87142350000795,None,"['3', '1']",1,"[-0.020239399978891015, 0.12681170005816966]",31.87142350000795,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,113,32.10475169995334,None,['2'],1,[0.00548789999447763],32.10475169995334,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,114,32.204771299962886,None,['3'],1,[-0.029892299906350672],32.204771299962886,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
