NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19,['3'],3,TMTstop-A_1_plinestimulus16.png,TMTstop-A_1_pgreenlinestimulus16.png,TMTstop-A_1_predlinestimulus16.png,None,,,,,0,18,18,18,,,,,1,1,78.90620499999204,None,['3'],1,[0.005857199997990392],78.90620499999204,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
20,['2'],2,TMTstop-A_1_plinestimulus17.png,TMTstop-A_1_pgreenlinestimulus17.png,TMTstop-A_1_predlinestimulus17.png,None,,,,,0,19,19,19,,,,,2,0,78.99672209999699,None,"['1', '2']",1,"[0.04999520001001656, 0.13132580000092275]",78.99672209999699,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
21,['3'],3,TMTstop-A_1_plinestimulus18.png,TMTstop-A_1_pgreenlinestimulus18.png,TMTstop-A_1_predlinestimulus18.png,None,,,,,0,20,20,20,,,,,1,1,79.21173650000128,None,['3'],1,[0.022802299994509667],79.21173650000128,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
22,['1'],1,TMTstop-A_1_plinestimulus19.png,TMTstop-A_1_pgreenlinestimulus19.png,TMTstop-A_1_predlinestimulus19.png,None,,,,,0,21,21,21,,,,,1,1,79.30886669999745,None,['1'],1,[0.04021590000775177],79.30886669999745,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
23,['2'],2,TMTstop-A_1_plinestimulus20.png,TMTstop-A_1_pgreenlinestimulus20.png,TMTstop-A_1_predlinestimulus20.png,None,,,,,0,22,22,22,,,,,1,1,79.42040469999483,None,['2'],1,[0.05536949999805074],79.42040469999483,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
24,['3'],3,TMTstop-A_1_plinestimulus21.png,TMTstop-A_1_pgreenlinestimulus21.png,TMTstop-A_1_predlinestimulus21.png,None,,,,,0,23,23,23,,,,,1,1,79.5671990999981,None,['3'],1,[-0.015319600002840161],79.5671990999981,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
25,['2'],2,TMTstop-A_1_plinestimulus22.png,TMTstop-A_1_pgreenlinestimulus22.png,TMTstop-A_1_predlinestimulus22.png,None,,,,,0,24,24,24,,,,,2,0,79.65747560000455,None,"['1', '2']",1,"[0.011301899998215958, 0.10445539999636821]",79.65747560000455,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
None,None,None,TMTstop-A_1_plinestimulus23.png,TMTstop-A_1_pgreenlinestimulus23.png,TMTstop-A_1_predlinestimulus23.png,None,,,,,0,25,25,25,,,,,7,0,79.8436531000043,None,"['3', '1', '2', '3', '1', '2', '3']",0,"[0.019841200002701953, 0.1607668999931775, 0.2538854000013089, 0.36833329999353737, 0.5240807999944082, 0.5979291999974521, 0.7056880000018282]",79.8436531000043,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
1,['3'],3,TMTstop-B_1_p.png,TMTstop-B_1_p.png,TMTstop-B_1_p.png,10,,,,,,,,,0,0,0,0,1,1,92.05817950000346,None,['3'],1,[2.1949454999994487],92.05817950000346,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
A,['1'],1,TMTstop-B_1_p.png,TMTstop-B_1_pfirstgreen.png,TMTstop-B_1_pfirstred.png,10,,,,,,,,,0,1,1,1,1,1,94.32919150000089,None,['1'],1,[0.4244796999992104],94.32919150000089,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
