Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,TMT_A,1,12,,,,,,,,,0,0,0,0,0,11,11,11,2,0,35.43459089999669,None,"['1', '3']",1,"[0.08615819999249652, 0.23951759999908973]",35.43459089999669,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,TMT_A,1,13,,,,,,,,,0,0,0,0,0,12,12,12,1,1,35.76804579999589,None,['2'],1,[-0.05284439999377355],35.76804579999589,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,TMT_A,1,14,,,,,,,,,0,0,0,0,0,13,13,13,2,0,35.8376067999925,None,"['1', '3']",1,"[0.016783300001407042, 0.16833660000702366]",35.8376067999925,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,TMT_A,1,15,,,,,,,,,0,0,0,0,0,14,14,14,2,0,36.101380499996594,None,"['2', '1']",1,"[-0.05327160000160802, 0.0906161000020802]",36.101380499996594,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,TMT_A,1,16,,,,,,,,,0,0,0,0,0,15,15,15,1,1,36.30285520000325,None,['3'],1,[0.0446010000014212],36.30285520000325,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,TMT_A,1,17,,,,,,,,,0,0,0,0,0,16,16,16,1,1,36.43481589999283,None,['2'],1,[-0.05034279999381397],36.43481589999283,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,TMT_A,1,18,,,,,,,,,0,0,0,0,0,17,17,17,2,0,36.51123429999279,None,"['1', '3']",1,"[0.02009800000814721, 0.1854965000093216]",36.51123429999279,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,TMT_A,1,19,,,,,,,,,0,0,0,0,0,18,18,18,2,0,36.78200530000322,None,"['2', '1']",1,"[-0.054064700001617894, 0.10083909999229945]",36.78200530000322,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,TMT_A,1,20,,,,,,,,,0,0,0,0,0,19,19,19,1,1,36.97643929999322,None,['3'],1,[0.08116610000433866],36.97643929999322,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,21,['1'],1,TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,TMT_A,1,21,,,,,,,,,0,0,0,0,0,20,20,20,2,0,37.136218800005736,None,"['2', '1']",1,"[-0.04293890000553802, 0.10762579999573063]",37.136218800005736,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,22,['3'],3,TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,TMT_A,1,22,,,,,,,,,0,0,0,0,0,21,21,21,5,0,37.337571500000195,None,"['3', '2', '1', '2', '3']",1,"[0.09556549999979325, 0.09845639999548439, 0.26578069999231957, 0.4715703999972902, 0.475885499996366]",37.337571500000195,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,23,['1'],1,TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,TMT_A,1,23,,,,,,,,,0,0,0,0,0,22,22,22,1,1,37.89306709999801,None,['1'],1,[0.07732870000472758],37.89306709999801,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,24,['2'],2,TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,TMT_A,1,24,,,,,,,,,0,0,0,0,0,23,23,23,1,1,38.05283679999411,None,['2'],1,[0.0934702000085963],38.05283679999411,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,25,['3'],3,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,TMT_A,1,25,,,,,,,,,0,0,0,0,0,24,24,24,1,1,38.22629700000107,None,['3'],1,[-0.043232399999396876],38.22629700000107,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
TMTstop-A_1_1.xlsx,0:26,None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,TMT_A,1,Feedback_last,,,,,,,,,0,0,0,0,0,25,25,25,4,0,38.3027912999969,None,"['1', '3', '2', '1']",0,"[0.02856920000340324, 0.18596999999135733, 0.21062359999632463, 0.38317519999691285]",38.3027912999969,None,,001,2022_Mar_30_1023,TMT_fmri,2021.2.3,146.8107565281561,
