Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_4.xlsx,78:104,12,['1'],TMTstop-A_1_4linestimulus9.png,TMTstop-A_1_4greenlinestimulus9.png,TMTstop-A_1_4redlinestimulus9.png,10,,,,,,,,,,0,3,3,3,0,11,11,11,,,,,,,,,,,,,1,1,58.656585399992764,None,['1'],1,[0.040303400019183755],58.656585399992764,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,13,['2'],TMTstop-A_1_4linestimulus10.png,TMTstop-A_1_4greenlinestimulus10.png,TMTstop-A_1_4redlinestimulus10.png,1,,,,,,,,,,0,3,3,3,0,12,12,12,,,,,,,,,,,,,1,1,58.77570679993369,None,['2'],1,[-0.011318600038066506],58.77570679993369,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,14,['1'],TMTstop-A_1_4linestimulus11.png,TMTstop-A_1_4greenlinestimulus11.png,TMTstop-A_1_4redlinestimulus11.png,None,,,,,,,,,,0,3,3,3,0,13,13,13,,,,,,,,,,,,,2,1,58.84464839985594,None,"['3', '1']",1,"[-0.0013210999313741922, 0.14135260018520057]",58.84464839985594,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,15,['2'],TMTstop-A_1_4linestimulus12.png,TMTstop-A_1_4greenlinestimulus12.png,TMTstop-A_1_4redlinestimulus12.png,None,,,,,,,,,,0,3,3,3,0,14,14,14,,,,,,,,,,,,,1,1,59.080746199935675,None,['2'],1,[-0.015511800069361925],59.080746199935675,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,16,['3'],TMTstop-A_1_4linestimulus13.png,TMTstop-A_1_4greenlinestimulus13.png,TMTstop-A_1_4redlinestimulus13.png,None,,,,,,,,,,0,3,3,3,0,15,15,15,,,,,,,,,,,,,1,1,59.156625600066036,None,['3'],1,[-0.03058340004645288],59.156625600066036,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,17,['1'],TMTstop-A_1_4linestimulus14.png,TMTstop-A_1_4greenlinestimulus14.png,TMTstop-A_1_4redlinestimulus14.png,None,,,,,,,,,,0,3,3,3,0,16,16,16,,,,,,,,,,,,,1,1,59.22635199991055,None,['1'],1,[0.06294960016384721],59.22635199991055,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,18,['2'],TMTstop-A_1_4linestimulus15.png,TMTstop-A_1_4greenlinestimulus15.png,TMTstop-A_1_4redlinestimulus15.png,None,,,,,,,,,,0,3,3,3,0,17,17,17,,,,,,,,,,,,,1,1,59.365895099937916,None,['2'],1,[-0.004892299883067608],59.365895099937916,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,19,['1'],TMTstop-A_1_4linestimulus16.png,TMTstop-A_1_4greenlinestimulus16.png,TMTstop-A_1_4redlinestimulus16.png,None,,,,,,,,,,0,3,3,3,0,18,18,18,,,,,,,,,,,,,2,1,59.43467069999315,None,"['3', '1']",1,"[0.014801400015130639, 0.16354350000619888]",59.43467069999315,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,20,['3'],TMTstop-A_1_4linestimulus17.png,TMTstop-A_1_4greenlinestimulus17.png,TMTstop-A_1_4redlinestimulus17.png,None,,,,,,,,,,0,3,3,3,0,19,19,19,,,,,,,,,,,,,2,1,59.6987801999785,None,"['2', '3']",1,"[-0.04663809994235635, 0.06884009996429086]",59.6987801999785,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,21,['1'],TMTstop-A_1_4linestimulus18.png,TMTstop-A_1_4greenlinestimulus18.png,TMTstop-A_1_4redlinestimulus18.png,None,,,,,,,,,,0,3,3,3,0,20,20,20,,,,,,,,,,,,,1,1,59.85781229985878,None,['1'],1,[0.04431489994749427],59.85781229985878,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
