NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Stim.started,key_resp_2.started,Attempts,First_attempt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
23,['2'],2,TMTstop-A_1_plinestimulus20.png,TMTstop-A_1_pgreenlinestimulus20.png,TMTstop-A_1_predlinestimulus20.png,None,,,,,0,22,22,22,,,,,56.540220700000646,56.540220700000646,1,1,['2'],1,[0.8413310999894748],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
24,['3'],3,TMTstop-A_1_plinestimulus21.png,TMTstop-A_1_pgreenlinestimulus21.png,TMTstop-A_1_predlinestimulus21.png,None,,,,,0,23,23,23,,,,,57.46204500000749,57.46204500000749,1,1,['3'],1,[0.6599732000031509],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
25,['2'],2,TMTstop-A_1_plinestimulus22.png,TMTstop-A_1_pgreenlinestimulus22.png,TMTstop-A_1_predlinestimulus22.png,None,,,,,0,24,24,24,,,,,58.20237400000042,58.20237400000042,1,1,['2'],1,[0.7447822999965865],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
None,None,None,TMTstop-A_1_plinestimulus23.png,TMTstop-A_1_pgreenlinestimulus23.png,TMTstop-A_1_predlinestimulus23.png,None,,,,,0,25,25,25,,,,,59.011727900011465,59.011727900011465,0,0,None,1,,,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
1,['3'],3,TMTstop-B_1_p.png,TMTstop-B_1_p.png,TMTstop-B_1_p.png,10,,,,,,,,,0,0,0,0,67.58970900000713,67.58970900000713,1,1,['3'],1,[0.9042085999972187],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
A,['1'],1,TMTstop-B_1_p.png,TMTstop-B_1_pfirstgreen.png,TMTstop-B_1_pfirstred.png,10,,,,,,,,,0,1,1,1,68.56360600001062,68.56360600001062,3,0,"['2', '3', '1']",1,"[0.8712799000059022, 2.0713631000107853, 2.2701869000011357]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
2,['2'],2,TMTstop-B_1_plinestimulus0.png,TMTstop-B_1_pgreenlinestimulus0.png,TMTstop-B_1_predlinestimulus0.png,10,,,,,,,,,0,2,2,2,70.9444982999994,70.9444982999994,1,1,['2'],1,[0.44972420000704005],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
B,['3'],3,TMTstop-B_1_plinestimulus1.png,TMTstop-B_1_pgreenlinestimulus1.png,TMTstop-B_1_predlinestimulus1.png,10,,,,,,,,,0,3,3,3,71.47124490000715,71.47124490000715,1,1,['3'],1,[0.8089564999972936],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
3,['1'],1,TMTstop-B_1_plinestimulus2.png,TMTstop-B_1_pgreenlinestimulus2.png,TMTstop-B_1_predlinestimulus2.png,10,,,,,,,,,0,4,4,4,72.34176700000535,72.34176700000535,1,1,['1'],1,[0.5823134000092978],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
C,['3'],3,TMTstop-B_1_plinestimulus3.png,TMTstop-B_1_pgreenlinestimulus3.png,TMTstop-B_1_predlinestimulus3.png,10,,,,,,,,,0,5,5,5,72.99066609999863,72.99066609999863,1,1,['3'],1,[0.6322553999925731],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
4,['1'],1,TMTstop-B_1_plinestimulus4.png,TMTstop-B_1_pgreenlinestimulus4.png,TMTstop-B_1_predlinestimulus4.png,10,,,,,,,,,0,6,6,6,73.69091980000667,73.69091980000667,1,1,['1'],1,[0.4778487000003224],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
