NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
A,['1'],1,TMTstop-B_1_p.png,TMTstop-B_1_pfirstgreen.png,TMTstop-B_1_pfirstred.png,10,,,,,,,,,0,1,1,1,1,1,95.03678600000421,None,['1'],1,[1.2408406000031391],95.03678600000421,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
2,['2'],2,TMTstop-B_1_plinestimulus0.png,TMTstop-B_1_pgreenlinestimulus0.png,TMTstop-B_1_predlinestimulus0.png,10,,,,,,,,,0,2,2,2,1,1,96.35429149999982,None,['2'],1,[2.5577788000009605],96.35429149999982,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
B,['3'],3,TMTstop-B_1_plinestimulus1.png,TMTstop-B_1_pgreenlinestimulus1.png,TMTstop-B_1_predlinestimulus1.png,10,,,,,,,,,0,3,3,3,1,1,99.00819000000047,None,['3'],1,[3.666614699999627],99.00819000000047,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
3,['1'],1,TMTstop-B_1_plinestimulus2.png,TMTstop-B_1_pgreenlinestimulus2.png,TMTstop-B_1_predlinestimulus2.png,10,,,,,,,,,0,4,4,4,1,1,102.76166610000655,None,['1'],1,[7.66330790000211],102.76166610000655,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
C,['3'],3,TMTstop-B_1_plinestimulus3.png,TMTstop-B_1_pgreenlinestimulus3.png,TMTstop-B_1_predlinestimulus3.png,10,,,,,,,,,0,5,5,5,1,1,110.50278460000118,None,['3'],1,[1.1258484999998473],110.50278460000118,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
4,['1'],1,TMTstop-B_1_plinestimulus4.png,TMTstop-B_1_pgreenlinestimulus4.png,TMTstop-B_1_predlinestimulus4.png,10,,,,,,,,,0,6,6,6,1,1,111.71009090000007,None,['1'],1,[2.491868199998862],111.71009090000007,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
D,['3'],3,TMTstop-B_1_plinestimulus5.png,TMTstop-B_1_pgreenlinestimulus5.png,TMTstop-B_1_predlinestimulus5.png,10,,,,,,,,,0,7,7,7,1,1,114.2820950000023,None,['3'],1,[4.8690683000022545],114.2820950000023,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
5,['2'],2,TMTstop-B_1_plinestimulus6.png,TMTstop-B_1_pgreenlinestimulus6.png,TMTstop-B_1_predlinestimulus6.png,10,,,,,,,,,0,8,8,8,1,1,119.2324563000002,None,['2'],1,[1.180718000003253],119.2324563000002,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
E,['1'],1,TMTstop-B_1_plinestimulus7.png,TMTstop-B_1_pgreenlinestimulus7.png,TMTstop-B_1_predlinestimulus7.png,10,,,,,,,,,0,9,9,9,1,1,120.48994400000083,None,['1'],1,[6.790549800003646],120.48994400000083,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
6,['3'],3,TMTstop-B_1_plinestimulus8.png,TMTstop-B_1_pgreenlinestimulus8.png,TMTstop-B_1_predlinestimulus8.png,10,,,,,,,,,0,10,10,10,1,1,127.4562314000068,None,['3'],1,[1.5455256999994162],127.4562314000068,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
F,['1'],1,TMTstop-B_1_plinestimulus9.png,TMTstop-B_1_pgreenlinestimulus9.png,TMTstop-B_1_predlinestimulus9.png,10,,,,,,,,,0,11,11,11,2,0,129.09675160000188,None,"['3', '1']",1,"[8.301632000002428, 9.132886800005508]",129.09675160000188,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
7,['3'],3,TMTstop-B_1_plinestimulus10.png,TMTstop-B_1_pgreenlinestimulus10.png,TMTstop-B_1_predlinestimulus10.png,1,,,,,,,,,0,12,12,12,1,1,138.3602702000062,None,['3'],1,[2.3175339000008535],138.3602702000062,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
G,['1'],1,TMTstop-B_1_plinestimulus11.png,TMTstop-B_1_pgreenlinestimulus11.png,TMTstop-B_1_predlinestimulus11.png,None,,,,,,,,,0,13,13,13,2,0,140.75971390000632,None,"['2', '1']",1,"[-0.05062520000501536, 4.443165299999237]",140.75971390000632,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
8,['2'],2,TMTstop-B_1_plinestimulus12.png,TMTstop-B_1_pgreenlinestimulus12.png,TMTstop-B_1_predlinestimulus12.png,None,,,,,,,,,0,14,14,14,1,1,145.3090830000001,None,['2'],1,[1.6983773000029032],145.3090830000001,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
H,['3'],3,TMTstop-B_1_plinestimulus13.png,TMTstop-B_1_pgreenlinestimulus13.png,TMTstop-B_1_predlinestimulus13.png,None,,,,,,,,,0,15,15,15,1,1,147.10671330000332,None,['3'],1,[1.2486523000043235],147.10671330000332,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
9,['2'],2,TMTstop-B_1_plinestimulus14.png,TMTstop-B_1_pgreenlinestimulus14.png,TMTstop-B_1_predlinestimulus14.png,None,,,,,,,,,0,16,16,16,1,1,148.43880020000506,None,['2'],1,[1.8956066000027931],148.43880020000506,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
I,['3'],3,TMTstop-B_1_plinestimulus15.png,TMTstop-B_1_pgreenlinestimulus15.png,TMTstop-B_1_predlinestimulus15.png,None,,,,,,,,,0,17,17,17,1,1,150.41322180000134,None,['3'],1,[0.5684196000001975],150.41322180000134,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
10,['1'],1,TMTstop-B_1_plinestimulus16.png,TMTstop-B_1_pgreenlinestimulus16.png,TMTstop-B_1_predlinestimulus16.png,None,,,,,,,,,0,18,18,18,1,1,151.0819210000045,None,['1'],1,[0.8930220999973244],151.0819210000045,None,,001,2022_May_23_1401,TMT_practice,2021.2.3,144.2154463398364,
