NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,3,0,3,0,0,4,4,4,,,,,,,,,,,31.810388400001102,None,2,0.01490340000600554,31.810388400001102,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,3,0,3,0,0,5,5,5,,,,,,,,,,,31.907976199989207,None,3,0.018205000000307336,31.907976199989207,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,3,0,3,0,0,6,6,6,,,,,,,,,,,31.998248299991246,None,1,0.05298900000343565,31.998248299991246,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,3,0,3,0,0,7,7,7,,,,,,,,,,,32.123433599990676,None,3,0.1379925000073854,32.123433599990676,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,3,0,3,0,0,8,8,8,,,,,,,,,,,32.3455713000003,None,2,0.13980249999440275,32.3455713000003,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,3,0,3,0,0,9,9,9,,,,,,,,,,,32.57456779999484,None,3,0.01628070000151638,32.57456779999484,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,3,0,3,0,0,10,10,10,,,,,,,,,,,32.67198529999587,None,1,0.04155150000588037,32.67198529999587,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,3,0,3,0,0,11,11,11,,,,,,,,,,,32.78301569999894,None,2,0.03695520000474062,32.78301569999894,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,3,0,3,0,0,12,12,12,,,,,,,,,,,32.8941582999978,None,3,0.007062399992719293,32.8941582999978,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,33.92874605000543,None,None,,33.92874605000543,None,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
