NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31.543780900072306,None,"['1', '2']",1,"[0.07051380001939833, 0.13865129998885095]",31.543780900072306,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,3,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,31.810487400041893,None,['3'],1,[-0.03149869991466403],31.810487400041893,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,31.893863199977204,None,['1'],1,[0.01584989996626973],31.893863199977204,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,2,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,31.993857800029218,None,['2'],1,[-0.009195399936288595],31.993857800029218,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,3,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,32.07723050005734,None,['3'],1,[0.005495900055393577],32.07723050005734,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,2,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,32.17735880007967,None,"['1', '2']",1,"[0.0340487000066787, 0.11021730001084507]",32.17735880007967,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,1,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,32.39399369992316,None,"['3', '1']",1,"[-0.02758729993365705, 0.10455860011279583]",32.39399369992316,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,2,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,32.627506599994376,None,['2'],1,[-0.054242199985310435],32.627506599994376,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,3,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,32.71112099988386,None,['3'],1,[-0.04589219996705651],32.71112099988386,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,1,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,32.794296900043264,None,['1'],1,[0.02065540011972189],32.794296900043264,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
